Timestamp,Route Location,Route Scale,Route Grade,Route Color,Wall Type,Completed?,Percentage Complete,Notes
12/6/2015 14:15:29,Circuit Tigard,V,4,Green,Slab,,5,
12/6/2015 14:15:46,Circuit Tigard,V,4,Green,Slab,,5,
12/6/2015 14:16:18,Circuit Tigard,V,4,Green,Slab,,5,
12/6/2015 14:38:42,Circuit Tigard,V,4,Blue,Roof,,6,
12/6/2015 14:39:12,Circuit Tigard,V,4,Blue,45 Degree,,6,
12/6/2015 14:39:39,Circuit Tigard,V,3,Pink,Slab,,10,
12/6/2015 14:40:06,Circuit Tigard,V,2,Grey,Slab,,10,
12/6/2015 15:02:19,Circuit Tigard,V,3,White,45 Degree,,4,
12/6/2015 15:02:47,Circuit Tigard,V,3,White,45 Degree,,4,
12/6/2015 15:03:11,Circuit Tigard,V,3,Grey,45 Degree,,5,
12/6/2015 15:03:30,Circuit Tigard,V,3,Grey,45 Degree,,5,
12/6/2015 15:12:38,Circuit Tigard,V,3,Grey,45 Degree,,6,
12/8/2015 17:58:39,Circuit SW,V,0,Orange,45 Degree,,10,
12/8/2015 17:59:02,Circuit SW,V,1,Purple,45 Degree,,7,
12/8/2015 17:59:21,Circuit SW,V,1,Green,45 Degree,,10,
